Longitude,Latitude,Perturbed Longitude,Perturbed Latitude
-77.6201904,43.0801749,-77.62366710656978,43.07993228904769
-77.6201901,43.0801735,-77.62049289878033,43.08012058191977
-77.6201901,43.0801735,-77.62108922858937,43.07996154632955
-77.6201929,43.0801674,-77.62019591287108,43.080181545238034
-77.6201929,43.0801674,-77.6267197960769,43.084845530165985
-77.6201958,43.0801594,-77.62009908012406,43.080022173305665
-77.6201958,43.0801594,-77.62073408843284,43.0794714018383
-77.6201973,43.0801544,-77.62020892000695,43.080473805241944
-77.6201973,43.0801544,-77.62031829286201,43.080110535269604
-77.6201978,43.0801523,-77.62182058720634,43.077052257967885
-77.6201978,43.0801523,-77.62015722877524,43.08027687396909
-77.6201985,43.0801509,-77.62116230383472,43.072524141757654
-77.6201985,43.0801509,-77.61115145519035,43.083529630340664
-77.620196,43.0801464,-77.62275745599906,43.08142073411409
-77.620196,43.0801464,-77.61975809407181,43.08039919496478
-77.6201922,43.0801423,-77.62061827591042,43.079430856702956
-77.6201922,43.0801423,-77.61994566239491,43.0803219517967
-77.6201901,43.0801408,-77.62311412204208,43.07903962199094
-77.6201901,43.0801408,-77.61883556418738,43.080928792226274
-77.6201879,43.0801401,-77.62006508265343,43.08021086404954
-77.6201879,43.0801401,-77.61923827005194,43.079138517215085
-77.6201822,43.0801407,-77.62039020675,43.08205623731785
-77.6201822,43.0801407,-77.62005657172712,43.08098120027271
-77.6201789,43.0801413,-77.61975756396733,43.08025683714952
-77.6201789,43.0801413,-77.61241812096263,43.07981683219464
-77.6201777,43.0801414,-77.618732358902,43.08055246044097
-77.6201777,43.0801414,-77.61919703626346,43.079663778371696
-77.6201742,43.0801405,-77.61571412019714,43.08656228580663
-77.6201742,43.0801405,-77.62109891005052,43.08128297188373
-77.6201697,43.080137,-77.62150268757892,43.08127578786398
-77.6201697,43.080137,-77.62293771134028,43.080186363664964
-77.6201756,43.0801438,-77.61980252916679,43.080191451631286
-77.6201756,43.0801438,-77.61746850983434,43.07979116367223
-77.6201744,43.0801425,-77.62043821790712,43.080105984041225
-77.6201744,43.0801425,-77.62335648516924,43.079562598336935
-77.6201717,43.08014,-77.62104336413194,43.079658067543036
-77.6201717,43.08014,-77.6209873907481,43.08108551754467
-77.6201672,43.0801357,-77.62559381187945,43.08231440248637
-77.6201672,43.0801357,-77.62205675855608,43.0841143249369
-77.6201626,43.0801305,-77.61923062370435,43.07925940402491
-77.6201626,43.0801305,-77.62024420467583,43.07699352211423
-77.6201518,43.0801124,-77.62014837161986,43.079518457772565
-77.6201518,43.0801124,-77.6200821891903,43.08055197955072
-77.6201448,43.0800995,-77.61374374277436,43.07925084440099
-77.6201448,43.0800995,-77.62085983571401,43.07987389238599
-77.6201414,43.0800929,-77.62056440143367,43.07942278412183
-77.6201414,43.0800929,-77.6201419922129,43.08009350824545
-77.6201266,43.080085,-77.62002165330269,43.08027322549038
-77.6201266,43.080085,-77.61999564364912,43.077896841769736
-77.6201225,43.0800799,-77.61745189152434,43.07961437629202
-77.6201225,43.0800799,-77.61874093669934,43.0801349599383
-77.6201203,43.0800691,-77.6204557892781,43.0801942329818
-77.6201203,43.0800691,-77.62011487733388,43.080069204427296
-77.6201164,43.0800587,-77.61965681856074,43.08051278008002
-77.6201164,43.0800587,-77.62209903556625,43.079164687460235
-77.6201083,43.0800501,-77.620433486935,43.08012444201709
-77.6201083,43.0800501,-77.62064343261667,43.0797995219993
-77.6201025,43.0800457,-77.61946145294408,43.081267654985496
-77.6201025,43.0800457,-77.62195658279863,43.07947028585524
-77.6200908,43.0800402,-77.62037316859738,43.081138095386336
-77.6200908,43.0800402,-77.61942481626996,43.080401880819245
-77.6200847,43.080039,-77.61961989672972,43.07917076615828
-77.6200847,43.080039,-77.61980791851886,43.079901094505615
-77.6200734,43.0800363,-77.62094393433453,43.079615214423534
-77.6200734,43.0800363,-77.6204606118407,43.08012951817039
-77.6200596,43.0800346,-77.61970869085583,43.07985980173695
-77.6200596,43.0800346,-77.62061910806861,43.07961908949495
-77.6200488,43.0800338,-77.62351664853536,43.08208741602155
-77.6200488,43.0800338,-77.62357760179981,43.08396078835908
-77.6200358,43.0800357,-77.62016216382453,43.079946302728764
-77.6200358,43.0800357,-77.6204982289306,43.07857279335292
-77.6200078,43.0800392,-77.62308848686794,43.07862876301947
-77.6200078,43.0800392,-77.61685915556309,43.07808558304253
-77.6199964,43.0800475,-77.61940926206022,43.079373849312276
-77.6199964,43.0800475,-77.62008203127643,43.080054672454935
-77.6199909,43.0800553,-77.62040227417299,43.07998906818934
-77.6199909,43.0800553,-77.62318154452967,43.07892374397228
-77.6199867,43.0800655,-77.62208666927287,43.079962066499974
-77.6199867,43.0800655,-77.61757301217287,43.08024700225277
-77.6199826,43.0800772,-77.62557104011567,43.07971426811937
-77.6199826,43.0800772,-77.61886577032199,43.07888902755023
-77.6199801,43.0800851,-77.62326246557923,43.08146744063849
-77.6199801,43.0800851,-77.62100208498002,43.07919218114561
-77.619977,43.0800911,-77.61993969390849,43.08055468321939
-77.619977,43.0800911,-77.61944053446938,43.079670876425
-77.619974,43.0800997,-77.61932158882406,43.07935094998419
-77.619974,43.0800997,-77.60999194441409,43.08029931685727
-77.6199718,43.080104,-77.61732987922119,43.08088527366494
-77.6199718,43.080104,-77.6215537141321,43.07836819346771
-77.619968,43.0801133,-77.61969512374932,43.08033518190934
-77.619968,43.0801133,-77.62008731448422,43.07980136768802
-77.6199632,43.0801263,-77.6200576577865,43.079434656241915
-77.6199632,43.0801263,-77.61499468142195,43.081103208633934
-77.6199587,43.0801329,-77.62365745382031,43.08070024651866
-77.6199587,43.0801329,-77.61403851471175,43.07859402469897
-77.6199557,43.0801444,-77.62311432655248,43.080790465045226
-77.6199557,43.0801444,-77.61889646927257,43.079376262491145
-77.6199475,43.0801558,-77.6239245341051,43.08004798535716
-77.6199475,43.0801558,-77.61859890984495,43.07994372730337
-77.6199394,43.0801633,-77.62232390550274,43.07975181414312
-77.6199394,43.0801633,-77.61941623325582,43.07887724859843
-77.6199327,43.0801695,-77.6217191067119,43.08040693244668
-77.6199327,43.0801695,-77.61865535721562,43.07948343588192
-77.6199247,43.0801758,-77.6204394352638,43.079809474416464
-77.6199247,43.0801758,-77.6081998059157,43.08171323432264
-77.6199201,43.0801826,-77.62027739838564,43.08111723113688
-77.6199201,43.0801826,-77.62264377202675,43.08068777806175
-77.6199151,43.0801893,-77.61231150204992,43.07948470211381
-77.6199151,43.0801893,-77.61966503282659,43.08090522909126
-77.6199115,43.0801942,-77.61897741165386,43.08111986400349
-77.6199115,43.0801942,-77.62100828398025,43.0816268688089
-77.619907,43.0802016,-77.62135156008,43.081598093318384
-77.619907,43.0802016,-77.62028154530422,43.07992587345131
-77.6199048,43.0802058,-77.62047676800273,43.08127786891175
-77.6199048,43.0802058,-77.61987163260208,43.07940972208231
-77.6199018,43.0802133,-77.62441591874767,43.07916752700586
-77.6199018,43.0802133,-77.61562664794674,43.0775547350719
-77.6198974,43.0802221,-77.61966374284884,43.08086607215524
-77.6198974,43.0802221,-77.62184346542325,43.08053974516793
-77.6198935,43.0802356,-77.61838038432684,43.08054645974904
-77.6198935,43.0802356,-77.61840382691646,43.08159904036184
-77.6198887,43.0802443,-77.62114397399326,43.08149804604274
-77.6198887,43.0802443,-77.62030992549226,43.08064798379858
-77.6198826,43.0802555,-77.61928856213157,43.079610916029175
-77.6198826,43.0802555,-77.62109995612511,43.08090806984341
-77.6198744,43.0802625,-77.62134399766981,43.080721701775126
-77.6198744,43.0802625,-77.61956386602411,43.08038086068171
-77.6198683,43.0802673,-77.62115214507413,43.0798661225418
-77.6198683,43.0802673,-77.61635858433233,43.079142330821206
-77.6198563,43.0802777,-77.62276071629395,43.08292869910017
-77.6198563,43.0802777,-77.6186784458548,43.07738785685992
-77.6198473,43.0802839,-77.6193284095034,43.08046634444253
-77.6198473,43.0802839,-77.6192882621063,43.08134477734376
-77.6198381,43.0802883,-77.6200912413065,43.079519138030825
-77.6198381,43.0802883,-77.61955276253359,43.082171662070195
-77.6198308,43.0802914,-77.61883439953641,43.07963639121744
-77.6198308,43.0802914,-77.61699104236448,43.080933485036766
-77.6198214,43.0802945,-77.62025524321315,43.0799563000998
-77.6198214,43.0802945,-77.6177550785582,43.07818600915565
-77.619807,43.0803059,-77.61583704681334,43.08091710353344
-77.619807,43.0803059,-77.62046068513719,43.080175842694835
-77.6197931,43.0803079,-77.61581107626533,43.07734285643297
-77.6197931,43.0803079,-77.61939045120776,43.079679810442684
-77.619785,43.08031,-77.62009546930356,43.08025096832541
-77.619785,43.08031,-77.61879620232642,43.0798794911692
-77.6197751,43.0803125,-77.6213415489631,43.080238707518745
-77.6197751,43.0803125,-77.62000581982441,43.0799136388941
-77.6197606,43.0803172,-77.62066989469,43.0807871240176
-77.6197606,43.0803172,-77.61917833213121,43.07958605328657
-77.6197492,43.0803184,-77.62164631561737,43.081021511961275
-77.6197492,43.0803184,-77.61995903483393,43.08032954272578
-77.6197455,43.0803188,-77.61996432247048,43.08289893819663
-77.6197455,43.0803188,-77.61935624493032,43.07986653688161
-77.6197368,43.0803197,-77.61841461532563,43.08077632462308
-77.6197368,43.0803197,-77.62117693075041,43.080694980143036
-77.61973,43.0803202,-77.621276482979,43.08135699511098
-77.61973,43.0803202,-77.61914682150622,43.08207747016854
-77.619724,43.0803199,-77.61972108212909,43.08033522480084
-77.619724,43.0803199,-77.61991351053331,43.08008007250635
-77.619714,43.0803202,-77.6197626082174,43.079972219214746
-77.619714,43.0803202,-77.6216161148209,43.08100500888047
-77.619701,43.0803212,-77.6196494231984,43.08031622698233
-77.619701,43.0803212,-77.61949278033876,43.08069285889589
-77.619694,43.0803224,-77.6184063936307,43.079967175345686
-77.619694,43.0803224,-77.61871264892642,43.08034887835267
-77.6196837,43.0803246,-77.61968613579575,43.080322202119824
-77.6196837,43.0803246,-77.6197576250884,43.08039922676451
-77.6196814,43.0803261,-77.61775335303594,43.08501318932668
-77.6196814,43.0803261,-77.61917236470946,43.07885200847378
-77.6196758,43.080328,-77.61970399518931,43.08190212631763
-77.6196758,43.080328,-77.62051952789,43.07975760504828
-77.6196634,43.0803404,-77.61923825040276,43.080011798821864
-77.6196634,43.0803404,-77.61969024744427,43.080513477197165
-77.619658,43.0803428,-77.62063384874878,43.080573487663486
-77.619658,43.0803428,-77.617641118025,43.080390977375544
-77.6196517,43.0803451,-77.62041184000834,43.08060721934907
-77.6196517,43.0803451,-77.61836332666171,43.078667319563905
-77.6196424,43.0803484,-77.62310729674897,43.082965837437335
-77.6196424,43.0803484,-77.61976914668233,43.079987159728226
-77.6196314,43.0803514,-77.62024227623456,43.0791679637115
-77.6196314,43.0803514,-77.61857537145993,43.080387049784676
-77.6196151,43.0803562,-77.62102076955995,43.08212696151945
-77.6196151,43.0803562,-77.61959304069443,43.08163504670091
-77.6196062,43.0803755,-77.61959086190208,43.08103465701838
-77.6196062,43.0803755,-77.61961350491057,43.08066173392449
-77.6195995,43.0803791,-77.6200834322104,43.08109927026034
-77.6195995,43.0803791,-77.62167772168948,43.08424992938956
-77.6195887,43.0803823,-77.6143468452546,43.0816974981044
-77.6195887,43.0803823,-77.61798541028442,43.079645581896585
-77.6195825,43.0803846,-77.62061115133241,43.08183823152383
-77.6195825,43.0803846,-77.61999545942265,43.07943083463856
-77.6195746,43.0803882,-77.6201815428316,43.08017391609582
-77.6195746,43.0803882,-77.62077328465301,43.07986488723831
