Longitude,Latitude,Perturbed Longitude,Perturbed Latitude
-77.6802533,43.0837859,-77.68326074253916,43.0907183420546
-77.6802535,43.0837851,-77.67849854724665,43.08298731057697
-77.6802535,43.0837851,-77.68022249664097,43.08427815571886
-77.6802441,43.0837781,-77.6862811731421,43.083122659418756
-77.6802441,43.0837781,-77.67585761015233,43.08240449972383
-77.6802451,43.0837764,-77.68017308443326,43.08432714096115
-77.6802451,43.0837764,-77.68156720788794,43.080285590426634
-77.6802429,43.0837752,-77.6790450582797,43.084031499189905
-77.6802429,43.0837752,-77.68053906048371,43.083711030213834
-77.680241,43.0837745,-77.68024019650045,43.08118365708058
-77.680241,43.0837745,-77.67884156955571,43.08481054352571
-77.6802365,43.0837729,-77.6801612288904,43.08234449858085
-77.6802365,43.0837729,-77.6796879412507,43.08400087202547
-77.6802315,43.08377,-77.67904156187032,43.083287120294294
-77.6802315,43.08377,-77.68028709643487,43.08272445293207
-77.6802253,43.0837653,-77.68413147016167,43.08946615562052
-77.6802253,43.0837653,-77.6792026997204,43.08469070340656
-77.6802059,43.083753,-77.6780350238876,43.08261506688452
-77.6802059,43.083753,-77.68066998385254,43.08344168845425
-77.6801884,43.0837447,-77.68439385180658,43.079052775785556
-77.6801884,43.0837447,-77.68105397153259,43.08267048174493
-77.6801725,43.0837375,-77.68016983692911,43.083283465530236
-77.6801725,43.0837375,-77.68028584443027,43.079838772886866
-77.6801685,43.0837442,-77.68156131950371,43.08413144706732
-77.6801685,43.0837442,-77.67933469925589,43.082020010633265
-77.6801551,43.083745,-77.67957888894026,43.08360781897986
-77.6801551,43.083745,-77.68006700102258,43.08375775157695
-77.6801392,43.0837419,-77.68054122027519,43.084194176244495
-77.6801392,43.0837419,-77.68033298114884,43.083823671376166
-77.6801209,43.0837381,-77.6896370620932,43.082673814768526
-77.6801209,43.0837381,-77.67483265124329,43.083116954969256
-77.6801095,43.0837362,-77.68226452795368,43.08158259104771
-77.6801095,43.0837362,-77.68228613078608,43.08224210273043
-77.680092,43.0837323,-77.68051211769328,43.08480496684889
-77.680092,43.0837323,-77.6803053105238,43.08332657078259
-77.6800996,43.0837354,-77.67943370935242,43.08440547807947
-77.6800996,43.0837354,-77.6798305057658,43.08394392547991
-77.6800969,43.0837355,-77.6767652115309,43.081136759839026
-77.6800969,43.0837355,-77.67888560120198,43.084550586703166
-77.6800899,43.083735,-77.68000922128195,43.083761970368926
-77.6800899,43.083735,-77.67573571174846,43.08762937731911
-77.6801045,43.0837382,-77.6803515926086,43.08341861264966
-77.6801045,43.0837382,-77.6753884225331,43.08958158992925
-77.6801526,43.0837614,-77.67636496274481,43.078189326783324
-77.6801526,43.0837614,-77.68079559097353,43.08363766844391
-77.6801805,43.0837795,-77.67766891269915,43.084567197999945
