Longitude,Latitude,Perturbed Longitude,Perturbed Latitude
-77.6201904,43.0801749,-77.61961651039366,43.079730429330205
-77.6201901,43.0801735,-77.61990229933434,43.08030546761408
-77.6201901,43.0801735,-77.61909250889228,43.07758776295135
-77.6201929,43.0801674,-77.62080002721487,43.08253855225623
-77.6201929,43.0801674,-77.62036557385301,43.079979076156754
-77.6201958,43.0801594,-77.61977025431483,43.080605015055745
-77.6201958,43.0801594,-77.62082737890972,43.08014036716134
-77.6201973,43.0801544,-77.61879461409637,43.08056286178511
-77.6201973,43.0801544,-77.61871412582244,43.07994877690968
-77.6201978,43.0801523,-77.61984403749469,43.08083106694545
-77.6201978,43.0801523,-77.62046536390393,43.08056690113644
-77.6201985,43.0801509,-77.62158659742967,43.07830852426201
-77.6201985,43.0801509,-77.62054944657513,43.08019974553202
-77.620196,43.0801464,-77.61891349098762,43.08204757535889
-77.620196,43.0801464,-77.62044363633096,43.07992685529585
-77.6201922,43.0801423,-77.61960236956064,43.08847335063391
-77.6201922,43.0801423,-77.62135219565934,43.08105213685404
-77.6201901,43.0801408,-77.6203719905603,43.08003086015162
-77.6201901,43.0801408,-77.62044750763374,43.08018189500422
-77.6201879,43.0801401,-77.62407581737223,43.081151703420154
-77.6201879,43.0801401,-77.61898684272109,43.08041527383839
-77.6201822,43.0801407,-77.61379646071903,43.08081082591277
-77.6201822,43.0801407,-77.61901449603255,43.078640662173235
-77.6201789,43.0801413,-77.6197160592418,43.08027446671643
-77.6201789,43.0801413,-77.62190642619696,43.07933538445782
-77.6201777,43.0801414,-77.62385624491408,43.0792801240574
-77.6201777,43.0801414,-77.62183410825648,43.07931675794215
-77.6201742,43.0801405,-77.62019478029964,43.08018412594044
-77.6201742,43.0801405,-77.62028098102499,43.07993363457681
-77.6201697,43.080137,-77.6195461706233,43.079671606853275
-77.6201697,43.080137,-77.61987618071832,43.08043722577077
-77.6201756,43.0801438,-77.62117064514426,43.07957966116425
-77.6201756,43.0801438,-77.62431314680136,43.08087115371978
-77.6201744,43.0801425,-77.62015031423668,43.07919599611655
-77.6201744,43.0801425,-77.62094469135623,43.079425547167304
-77.6201717,43.08014,-77.62018556674833,43.07999886373247
-77.6201717,43.08014,-77.62001045550089,43.07788684886432
-77.6201672,43.0801357,-77.61923466171893,43.07960378899517
-77.6201672,43.0801357,-77.618375383487,43.08074868162591
-77.6201626,43.0801305,-77.62069070405079,43.078709038920564
-77.6201626,43.0801305,-77.62103338592007,43.08182668463915
-77.6201518,43.0801124,-77.61976482036518,43.08002096986056
-77.6201518,43.0801124,-77.61931713497124,43.082182726733016
-77.6201448,43.0800995,-77.62440609489515,43.08335149807014
-77.6201448,43.0800995,-77.62374297425859,43.08014501688553
-77.6201414,43.0800929,-77.62013899058569,43.0800867906
-77.6201414,43.0800929,-77.62537002650728,43.080171615453246
-77.6201266,43.080085,-77.61999169820217,43.08008246594362
-77.6201266,43.080085,-77.6205786675289,43.080725020376676
-77.6201225,43.0800799,-77.62023095975668,43.079989520788644
-77.6201225,43.0800799,-77.61642786488746,43.08330693952327
-77.6201203,43.0800691,-77.61913017602612,43.078553265937245
-77.6201203,43.0800691,-77.61455790445847,43.07641672203892
-77.6201164,43.0800587,-77.61940176870891,43.07939761320072
-77.6201164,43.0800587,-77.62095151547732,43.07917078677961
-77.6201083,43.0800501,-77.61947513375577,43.0817894622101
-77.6201083,43.0800501,-77.62006363085241,43.08004500485075
-77.6201025,43.0800457,-77.62066048600963,43.07840575761814
-77.6201025,43.0800457,-77.6198662798549,43.0799431386323
-77.6200908,43.0800402,-77.61712043295725,43.08064787507059
-77.6200908,43.0800402,-77.61990594396615,43.0797095474378
-77.6200847,43.080039,-77.62055052031512,43.0791740631474
-77.6200847,43.080039,-77.62073681595484,43.079761472692034
-77.6200734,43.0800363,-77.61970739893395,43.079417554406305
-77.6200734,43.0800363,-77.6203634863293,43.079113827351485
-77.6200596,43.0800346,-77.6201749928562,43.07975373967019
-77.6200596,43.0800346,-77.62056216460512,43.07966548935346
-77.6200488,43.0800338,-77.61468410933604,43.08006028439719
-77.6200488,43.0800338,-77.61990617091551,43.08002327022665
-77.6200358,43.0800357,-77.62002883443508,43.08003304898841
-77.6200358,43.0800357,-77.62044891861261,43.08026548714129
-77.6200078,43.0800392,-77.61691190578297,43.078227041749784
-77.6200078,43.0800392,-77.62186704573816,43.080401697442284
-77.6199964,43.0800475,-77.62004062927791,43.08010391469367
-77.6199964,43.0800475,-77.61900406565415,43.0822781777455
-77.6199909,43.0800553,-77.61913023411842,43.079649545928525
-77.6199909,43.0800553,-77.61987879885633,43.07999191719792
-77.6199867,43.0800655,-77.61965861583126,43.079603816038464
-77.6199867,43.0800655,-77.61913700130171,43.08044829237921
-77.6199826,43.0800772,-77.62052413120199,43.07922396124086
-77.6199826,43.0800772,-77.61998172111812,43.08033133134801
-77.6199801,43.0800851,-77.61975783163504,43.08002684609951
-77.6199801,43.0800851,-77.61951639890326,43.07929264981709
-77.619977,43.0800911,-77.61952386052575,43.080235000284915
-77.619977,43.0800911,-77.62034954908454,43.079887411444204
-77.619974,43.0800997,-77.61933475087535,43.07907762520549
-77.619974,43.0800997,-77.61998563783696,43.08222931883727
-77.6199718,43.080104,-77.62058730729731,43.079560440931715
-77.6199718,43.080104,-77.61952896267087,43.078678681178836
-77.619968,43.0801133,-77.61779121149577,43.08174579268398
-77.619968,43.0801133,-77.62518097525923,43.08522865963594
-77.6199632,43.0801263,-77.62561348070244,43.078802888389625
-77.6199632,43.0801263,-77.62111342863027,43.08180640918828
-77.6199587,43.0801329,-77.62013743629215,43.08298649224048
-77.6199587,43.0801329,-77.6207337927376,43.07791860667956
-77.6199557,43.0801444,-77.62003707057794,43.07994254866621
-77.6199557,43.0801444,-77.62169765599826,43.081308264739484
-77.6199475,43.0801558,-77.62132159686324,43.0801170091409
-77.6199475,43.0801558,-77.61923741378924,43.07991160575509
-77.6199394,43.0801633,-77.62052665938175,43.07995182382093
-77.6199394,43.0801633,-77.62352550879137,43.076591717354276
-77.6199327,43.0801695,-77.61933892304299,43.080751954232205
-77.6199327,43.0801695,-77.61808022393441,43.079003855958746
-77.6199247,43.0801758,-77.62035248837671,43.07984119991164
-77.6199247,43.0801758,-77.6204564602405,43.080278417582086
-77.6199201,43.0801826,-77.61633393054353,43.080992027091845
-77.6199201,43.0801826,-77.62364739426442,43.0810196945629
-77.6199151,43.0801893,-77.61936253434868,43.07978781482656
-77.6199151,43.0801893,-77.6179957729784,43.08313362691727
-77.6199115,43.0801942,-77.61980651169252,43.080076814619524
-77.6199115,43.0801942,-77.61711131674123,43.07920538935531
-77.619907,43.0802016,-77.62015564710835,43.079893243041376
-77.619907,43.0802016,-77.6222597057255,43.078153037150656
-77.6199048,43.0802058,-77.6208843994938,43.07992276413298
-77.6199048,43.0802058,-77.62057471027397,43.08060664283079
-77.6199018,43.0802133,-77.61943638741973,43.07868235327521
-77.6199018,43.0802133,-77.61985921943487,43.08054394665648
-77.6198974,43.0802221,-77.61755940478744,43.080456389332454
-77.6198974,43.0802221,-77.61986708062766,43.080230832754104
-77.6198935,43.0802356,-77.6208310905142,43.08087458111767
-77.6198935,43.0802356,-77.62068556088722,43.08232224559398
-77.6198887,43.0802443,-77.61841704463325,43.07707976615695
-77.6198887,43.0802443,-77.62039542943714,43.07933169420386
-77.6198826,43.0802555,-77.62494515324482,43.08054417773569
-77.6198826,43.0802555,-77.62114937214469,43.07944995170943
-77.6198744,43.0802625,-77.6205174595158,43.0800848996821
-77.6198744,43.0802625,-77.61720168358706,43.07756746141091
-77.6198683,43.0802673,-77.61946304218338,43.080298054873055
-77.6198683,43.0802673,-77.61978784638715,43.079967288234286
-77.6198563,43.0802777,-77.62235174108112,43.081247820994406
-77.6198563,43.0802777,-77.62316816710708,43.07648052967947
-77.6198473,43.0802839,-77.62048393351029,43.082083115875115
-77.6198473,43.0802839,-77.61984588149487,43.080447422800155
-77.6198381,43.0802883,-77.61937091085149,43.07954532460553
-77.6198381,43.0802883,-77.61999619617885,43.08018160776997
