Longitude,Latitude,Perturbed Longitude,Perturbed Latitude
-77.6802533,43.0837859,-77.69193024315825,43.07387927633726
-77.6802535,43.0837851,-77.67777261772152,43.083018641924106
-77.6802535,43.0837851,-77.67682510425514,43.082909300600384
-77.6802441,43.0837781,-77.6803619127513,43.084873749402504
-77.6802441,43.0837781,-77.68025351400662,43.08377144356109
-77.6802451,43.0837764,-77.67948499997931,43.08532425150535
-77.6802451,43.0837764,-77.68084481954648,43.085468401786876
-77.6802429,43.0837752,-77.68170461853084,43.0815719354691
-77.6802429,43.0837752,-77.68105910026114,43.08338337686921
-77.680241,43.0837745,-77.68685165113688,43.082284032829
-77.680241,43.0837745,-77.68009414103615,43.08207578348503
-77.6802365,43.0837729,-77.67992440897785,43.083106284494505
-77.6802365,43.0837729,-77.68293804814873,43.08264110768534
-77.6802315,43.08377,-77.68052822123374,43.08363418675061
-77.6802315,43.08377,-77.67926023013516,43.08460327944602
-77.6802253,43.0837653,-77.68071267721389,43.08347053372831
-77.6802253,43.0837653,-77.67864893965476,43.085617892876336
-77.6802059,43.083753,-77.68034043598134,43.08283526390699
-77.6802059,43.083753,-77.67953081748757,43.07866944559602
-77.6801884,43.0837447,-77.68528589818695,43.08501141797748
-77.6801884,43.0837447,-77.68016445128941,43.08446225392166
-77.6801725,43.0837375,-77.68112480531559,43.0848494024311
-77.6801725,43.0837375,-77.6812809672408,43.08444019904189
-77.6801685,43.0837442,-77.67492797105331,43.086591466079085
-77.6801685,43.0837442,-77.68002426666483,43.08324697448301
-77.6801551,43.083745,-77.6819077271554,43.0845173992058
-77.6801551,43.083745,-77.67979468329166,43.08365326606149
-77.6801392,43.0837419,-77.67782624089699,43.08360154633841
-77.6801392,43.0837419,-77.68009425275018,43.085714263768935
-77.6801209,43.0837381,-77.68023177284763,43.08371623331709
-77.6801209,43.0837381,-77.68019068492717,43.083711255276455
-77.6801095,43.0837362,-77.6808658307375,43.083877750142335
-77.6801095,43.0837362,-77.67770198715967,43.08438815981369
-77.680092,43.0837323,-77.68114427107784,43.08357853453484
-77.680092,43.0837323,-77.67890131490364,43.0830996681108
-77.6800996,43.0837354,-77.67738859452602,43.08545559087309
-77.6800996,43.0837354,-77.6804126159626,43.08416423076232
-77.6800969,43.0837355,-77.67841219070898,43.0839111205486
-77.6800969,43.0837355,-77.67999146128874,43.08408697464276
-77.6800899,43.083735,-77.6810316884012,43.08267802849864
-77.6800899,43.083735,-77.67920730750375,43.08365336903405
-77.6801045,43.0837382,-77.67529252688712,43.083421495212036
-77.6801045,43.0837382,-77.68189637848032,43.08475988515447
-77.6801526,43.0837614,-77.68346746902523,43.08285380391381
-77.6801526,43.0837614,-77.68017247526278,43.08376526206308
-77.6801805,43.0837795,-77.68013777895044,43.08635013605586
-77.6801805,43.0837795,-77.68056737015559,43.08370731019348
-77.6801968,43.0837917,-77.68034687261279,43.08327327152696
-77.6801968,43.0837917,-77.67935838863805,43.08638734594107
-77.6802021,43.083796,-77.67647954478119,43.08314698880352
-77.6802021,43.083796,-77.67672877654586,43.08469378756158
-77.6801886,43.0837953,-77.68028266095936,43.08381869952978
-77.6801886,43.0837953,-77.6809191187518,43.08337126809514
-77.6801735,43.0837953,-77.67845327822307,43.08423577580293
-77.6801735,43.0837953,-77.68247278457686,43.083822226801004
-77.6801569,43.083793,-77.68060288554352,43.08411642596776
-77.6801569,43.083793,-77.68058053958572,43.08501249837567
-77.6801218,43.0837962,-77.67990612409784,43.083841709694646
-77.6801218,43.0837962,-77.68117831510632,43.08326807772176
-77.6801032,43.0838027,-77.68076362120765,43.08581510575647
-77.6801032,43.0838027,-77.68033104420472,43.08331954556623
-77.680075,43.0838177,-77.68179491828728,43.08349483255537
-77.680075,43.0838177,-77.68001868943887,43.0833937044457
-77.6800605,43.0838291,-77.67666436720721,43.08375767662278
-77.6800605,43.0838291,-77.68089194383154,43.084223200882995
-77.6800502,43.0838384,-77.67893309770534,43.08361308798276
-77.6800502,43.0838384,-77.68014342051643,43.0838399060828
-77.6800394,43.0838481,-77.68331784204052,43.08787456083609
-77.6800394,43.0838481,-77.67766779808274,43.086673409784545
-77.6800351,43.0838523,-77.68258378434595,43.08652304122165
-77.6800351,43.0838523,-77.67979247138592,43.08383430245281
-77.6800306,43.0838563,-77.67858740878648,43.08267018647044
-77.6800306,43.0838563,-77.67971906536592,43.08289917001055
-77.6800257,43.0838614,-77.68119352948067,43.08473066228874
-77.6800257,43.0838614,-77.68043646440667,43.08411471677089
-77.6800201,43.0838674,-77.68676405858278,43.08230271794943
-77.6800201,43.0838674,-77.68021993501257,43.083205012136
-77.6800151,43.0838738,-77.68016023421784,43.08597108332546
-77.6800151,43.0838738,-77.67677271582798,43.082250150341665
-77.6800087,43.0838813,-77.67959721235141,43.08399788259245
-77.6800087,43.0838813,-77.68001702164796,43.08563216406125
-77.6800033,43.0838869,-77.6771422411722,43.08206414533485
-77.6800033,43.0838869,-77.6783934972427,43.086166565326735
-77.6800004,43.0838936,-77.68282139077273,43.09533589719383
-77.6800004,43.0838936,-77.68179510520535,43.08440164173513
-77.6799964,43.0839032,-77.6832144977025,43.07792019875759
-77.6799964,43.0839032,-77.68086125304994,43.086823024729306
-77.6799944,43.0839129,-77.68193787283171,43.084575202416005
-77.6799944,43.0839129,-77.67999118890444,43.08292812442939
-77.6799921,43.083922,-77.68023368302062,43.08407875067045
-77.6799921,43.083922,-77.67987036951209,43.083659817116946
-77.6799938,43.0839319,-77.6824638094693,43.08568796459179
-77.6799938,43.0839319,-77.68144202656214,43.08728182658621
-77.6799938,43.0839381,-77.67968879803418,43.083549548167355
-77.6799938,43.0839381,-77.6792849054534,43.08207618754916
-77.6799963,43.083952,-77.68123761557835,43.085085019598644
-77.6799963,43.083952,-77.67999031621027,43.08394460258416
-77.6799976,43.0839586,-77.6791076962059,43.08594468039471
-77.6799976,43.0839586,-77.67769079841666,43.083712487810374
-77.6800024,43.0839664,-77.68209451915509,43.08327298473506
-77.6800024,43.0839664,-77.67989071574567,43.08405243878048
-77.6800171,43.0839543,-77.68256876316525,43.09446999169755
-77.6800171,43.0839543,-77.68180395964666,43.08257189340731
-77.6800437,43.0839533,-77.6798439784616,43.08350482339429
-77.6800437,43.0839533,-77.68145123434036,43.08577051248853
-77.6800605,43.0839631,-77.68013704999017,43.08422870012096
-77.6800605,43.0839631,-77.68001786949962,43.0830938686487
-77.6800713,43.0839705,-77.67830080690946,43.08351712242489
-77.6800713,43.0839705,-77.68038371541103,43.08394027217611
-77.6800728,43.0840045,-77.67937729031293,43.084136387973395
-77.6800728,43.0840045,-77.6821185349059,43.08438637434637
-77.6800808,43.084023,-77.67942993809254,43.083291958748845
-77.6800808,43.084023,-77.679494316866,43.08435642179429
-77.6800814,43.0840394,-77.68100083244761,43.08437346458953
-77.6800814,43.0840394,-77.6809069156512,43.08003809517556
-77.6800825,43.084055,-77.68144909050628,43.08438157811803
-77.6800825,43.084055,-77.68090094308148,43.082004828802916
-77.6800858,43.084064,-77.67970802601415,43.0835824205712
-77.6800858,43.084064,-77.67969091683035,43.08403203848694
-77.6800709,43.0840954,-77.68730392641564,43.08217961771494
-77.6800709,43.0840954,-77.68273544117609,43.08557248735878
-77.6800687,43.0841097,-77.68009103846178,43.08411065615086
-77.6800687,43.0841097,-77.67580637562907,43.084102420095675
-77.6800682,43.0841153,-77.6818388645345,43.08444703632545
-77.6800682,43.0841153,-77.68152589602501,43.08258860011335
-77.6800658,43.0841234,-77.68091613978542,43.08466181511417
-77.6800658,43.0841234,-77.68057319101902,43.08390134336521
-77.680069,43.0841377,-77.6794037378824,43.08420109743756
-77.680069,43.0841377,-77.67957574068707,43.08433309411459
-77.6801152,43.0841343,-77.68002045173537,43.08434406127452
-77.6801152,43.0841343,-77.67865120367206,43.08601102045384
-77.680134,43.0841307,-77.67769153221249,43.08263277293104
-77.680134,43.0841307,-77.68042930225897,43.08431953048878
-77.6801474,43.0841291,-77.67929425518412,43.08403924686302
-77.6801474,43.0841291,-77.67472016902026,43.080826025235886
-77.680117,43.0841437,-77.68151024720535,43.084735823634844
-77.680117,43.0841437,-77.68382877490461,43.08449906786602
-77.6800994,43.0841531,-77.6807049370754,43.084336788704704
-77.6800994,43.0841531,-77.68156288626211,43.08400206946909
-77.6800872,43.0841512,-77.68151711406071,43.08383665360199
-77.6800872,43.0841512,-77.68106597766489,43.08338177806065
-77.6800876,43.084154,-77.6798155180778,43.08436587566239
-77.6800876,43.084154,-77.68071047698453,43.08384012934376
-77.680084,43.0841629,-77.68245039709858,43.08404692012631
-77.680084,43.0841629,-77.6809593654133,43.08493623805002
-77.6800858,43.0841678,-77.6808775177783,43.08491170183384
-77.6800858,43.0841678,-77.67958081701713,43.08231434428198
-77.6800593,43.0841654,-77.68005999476138,43.0841376083818
-77.6800593,43.0841654,-77.68102022301501,43.088791014274605
-77.6800572,43.084163,-77.67956428309752,43.084695649968694
-77.6800572,43.084163,-77.68164649674196,43.081677854746
-77.680058,43.0841644,-77.6784523759759,43.08718668976121
-77.680058,43.0841644,-77.67780900963793,43.08400703885797
-77.6800557,43.0841667,-77.68057668526004,43.084730074200436
-77.6800557,43.0841667,-77.68001419054123,43.08729852589631
-77.6800472,43.0841708,-77.67714021769739,43.081322433222034
-77.6800472,43.0841708,-77.68069978284792,43.083770006122776
-77.680037,43.0841835,-77.68244096510819,43.08373999319025
-77.680037,43.0841835,-77.67997899392084,43.08509783252711
-77.6800278,43.0841984,-77.67644032567479,43.08553458058834
-77.6800278,43.0841984,-77.68056890818492,43.084660246349316
-77.68002,43.0842098,-77.67693412719443,43.08450446476326
-77.68002,43.0842098,-77.68004969117045,43.08331733123378
-77.6800198,43.0842222,-77.67822542854105,43.082501922674986
-77.6800198,43.0842222,-77.68015534649912,43.084236210791275
-77.6800193,43.0842417,-77.68101253527666,43.08456985913572
-77.6800193,43.0842417,-77.68135240592268,43.084154586038075
-77.6800142,43.0842557,-77.67975066823566,43.084811216586466
-77.6800142,43.0842557,-77.67975684379178,43.07600430104472
-77.6800078,43.0842892,-77.67159788080495,43.07985501963049
-77.6800078,43.0842892,-77.67754061693037,43.08323768337273
