Longitude,Latitude,Perturbed Longitude,Perturbed Latitude
-77.6201904,43.0801749,-77.61989940500199,43.08190199357279
-77.6201901,43.0801735,-77.62888814824547,43.08256633795622
-77.6201901,43.0801735,-77.61918743095138,43.0796994261769
-77.6201929,43.0801674,-77.62021600744329,43.080085346413426
-77.6201929,43.0801674,-77.61943545035524,43.07991097721372
-77.6201958,43.0801594,-77.61698056296072,43.08320828589205
-77.6201958,43.0801594,-77.62011790558523,43.08044697435473
-77.6201973,43.0801544,-77.61776894925704,43.0779188619772
-77.6201973,43.0801544,-77.61792639286377,43.07742326605726
-77.6201978,43.0801523,-77.6203850107085,43.07875199547322
-77.6201978,43.0801523,-77.61992624086378,43.07888443191528
-77.6201985,43.0801509,-77.62150211821474,43.077577384230416
-77.6201985,43.0801509,-77.62142014841773,43.083230745705784
-77.620196,43.0801464,-77.62194140999121,43.08209160052242
-77.620196,43.0801464,-77.62115281346802,43.08210186469119
-77.6201922,43.0801423,-77.6181840197553,43.07920996394019
-77.6201922,43.0801423,-77.61814828939168,43.08194672610251
-77.6201901,43.0801408,-77.61854197831008,43.0811968514333
-77.6201901,43.0801408,-77.62216282438204,43.07782368530983
-77.6201879,43.0801401,-77.6217033578559,43.0799310715061
-77.6201879,43.0801401,-77.6184278589727,43.07844108300701
-77.6201822,43.0801407,-77.62294909352613,43.07973813066333
-77.6201822,43.0801407,-77.61998206715707,43.08100456338901
-77.6201789,43.0801413,-77.62166404520428,43.08026079494134
-77.6201789,43.0801413,-77.61224266408435,43.08106922730066
-77.6201777,43.0801414,-77.6229991409664,43.07951533731993
-77.6201777,43.0801414,-77.6196617282542,43.080288539234274
-77.6201742,43.0801405,-77.61989704068151,43.080022535463605
-77.6201742,43.0801405,-77.61789883213795,43.079217162360464
-77.6201697,43.080137,-77.62019214813621,43.0803097656357
-77.6201697,43.080137,-77.62114299234753,43.0802020625352
-77.6201756,43.0801438,-77.6208160535956,43.08112267730795
-77.6201756,43.0801438,-77.61953110146258,43.079765819347394
-77.6201744,43.0801425,-77.62210624266717,43.0806515681796
-77.6201744,43.0801425,-77.6149658481361,43.08094575199251
-77.6201717,43.08014,-77.62150578484659,43.07839576239288
-77.6201717,43.08014,-77.62038586744708,43.08071430040706
-77.6201672,43.0801357,-77.62507680084423,43.080888039743236
-77.6201672,43.0801357,-77.61985304545134,43.08034422627416
-77.6201626,43.0801305,-77.62003253250626,43.08004452409166
